account_name,vertical,kpiCode,name,kpiValue,samples
SUNYBinghampton,Higher Education,QUAP008,HTTP DL Throughput,42.8261836562354,157
SUNYBinghampton,Higher Education,QUAP009,HTTP UL Throughput,47.558305306831514,1443
SUNYBinghampton,Higher Education,QUAP005,VoIP MOS Downlink (Listening),3.9883738068617025,297
SUNYBinghampton,Higher Education,QUAP006,VoIP MOS Uplink (Talking),4.044854758089136,425
Swinerton,Enterprise Office Space,QUAP008,HTTP DL Throughput,101.14331082260028,1532
Swinerton,Enterprise Office Space,QUAP009,HTTP UL Throughput,119.23136810560997,5041
Swinerton,Enterprise Office Space,QUAP005,VoIP MOS Downlink (Listening),4.038523312305182,1753
Swinerton,Enterprise Office Space,QUAP006,VoIP MOS Uplink (Talking),4.025303197351367,2075
TempleUniversityHealth,Hospital Healthcare,QUAP008,HTTP DL Throughput,16.92678798589532,1176
TempleUniversityHealth,Hospital Healthcare,QUAP009,HTTP UL Throughput,14.468546424242419,1176
TempleUniversityHealth,Hospital Healthcare,QUAP005,VoIP MOS Downlink (Listening),4.03102396694214,1176
TempleUniversityHealth,Hospital Healthcare,QUAP006,VoIP MOS Uplink (Talking),3.9500465760672743,1170
TransRe,Enterprise Office Space,QUAP008,HTTP DL Throughput,169.19827212121214,14
TransRe,Enterprise Office Space,QUAP009,HTTP UL Throughput,41.71969288542389,191
TransRe,Enterprise Office Space,QUAP006,VoIP MOS Uplink (Talking),4.049999999999998,55
UNI ,Higher Education,QUAP008,HTTP DL Throughput,105.23173634447497,8794
UNI ,Higher Education,QUAP009,HTTP UL Throughput,97.38147552710403,8771
UNI ,Higher Education,QUAP005,VoIP MOS Downlink (Listening),3.9910446586431148,8702
UNI ,Higher Education,QUAP006,VoIP MOS Uplink (Talking),3.9973033668773508,8773
UWHealth,Hospital Healthcare,QUAP008,HTTP DL Throughput,242.93660362426627,1141
UWHealth,Hospital Healthcare,QUAP009,HTTP UL Throughput,111.774536310604,1139
UWHealth,Hospital Healthcare,QUAP005,VoIP MOS Downlink (Listening),4.042830439952377,1133
UWHealth,Hospital Healthcare,QUAP006,VoIP MOS Uplink (Talking),4.0432865074019135,1141
